year,number,rate,number_local
1998,6100,22.4,5267.52
1999,3650,13.1,3221.4
2000,2820,9.3,2576.1
2001,8720,25.6,7426.37
2002,7150,20.7,6320.08
2003,6220,17.5,5436
2004,3450,9.4,3183.18
2005,3360,8.5,2906.04
2006,3790,7.3,3533.07
2007,2670,4.7,2379.96
2008,6200,9.9,5086.76
2009,9570,14.7,7995.01
2010,3450,5,2914.38
2011,4170,5.5,3260.32
2012,5960,7.4,4575.2
2013,6430,7.3,4940.64
2014,6530,7.1,4749.44
2015,8550,8.9,6462.99
2016,10890,11,7955.44
2017,8700,8.7,6566.4
2018,6980,6.7,5359.06